09/26 12:23:14.649 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/mgr/config/sub_menu/cancel/{menu_id}] onto handler 'buMgrSubMenuController'
09/26 12:23:14.649 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/mgr/config/sub_menu/cancel/{menu_id}.*] onto handler 'buMgrSubMenuController'
09/26 12:23:14.649 INFO  o.s.w.s.m.a.DefaultAnnotationHandlerMapping - Mapped URL path [/mgr/config/sub_menu/cancel/{menu_id}/] onto handler 'buMgrSubMenuController'
09/26 12:23:16.908 INFO  org.quartz.impl.StdSchedulerFactory - Using default implementation for ThreadExecutor
09/26 12:23:16.949 INFO  o.quartz.core.SchedulerSignalerImpl - Initialized Scheduler Signaller of type: class org.quartz.core.SchedulerSignalerImpl
09/26 12:23:16.950 INFO  org.quartz.core.QuartzScheduler - Quartz Scheduler v.2.2.0 created.
09/26 12:23:16.952 INFO  org.quartz.simpl.RAMJobStore - RAMJobStore initialized.
09/26 12:23:16.953 INFO  org.quartz.core.QuartzScheduler - Scheduler meta-data: Quartz Scheduler (v2.2.0) 'startQuertz' with instanceId 'NON_CLUSTERED'
  Scheduler class: 'org.quartz.core.QuartzScheduler' - running locally.
  NOT STARTED.
  Currently in standby mode.
  Number of jobs executed: 0
  Using thread pool 'org.quartz.simpl.SimpleThreadPool' - with 10 threads.
  Using job-store 'org.quartz.simpl.RAMJobStore' - which does not support persistence. and is not clustered.

09/26 12:23:16.953 INFO  org.quartz.impl.StdSchedulerFactory - Quartz scheduler 'startQuertz' initialized from an externally provided properties instance.
09/26 12:23:16.954 INFO  org.quartz.impl.StdSchedulerFactory - Quartz scheduler version: 2.2.0
09/26 12:23:16.957 INFO  org.quartz.core.QuartzScheduler - JobFactory set to: org.springframework.scheduling.quartz.AdaptableJobFactory@3bb0578f
09/26 12:23:16.990 INFO  o.s.c.s.DefaultLifecycleProcessor - Starting beans in phase 2147483647
09/26 12:23:16.990 INFO  o.s.s.quartz.SchedulerFactoryBean - Starting Quartz Scheduler now
09/26 12:23:16.991 INFO  org.quartz.core.QuartzScheduler - Scheduler startQuertz_$_NON_CLUSTERED started.
09/26 12:23:17.177 INFO  org.bu.file.init.SystemConfig - 数据库里没有初始化数据......
09/26 12:23:17.178 INFO  org.bu.file.init.SystemConfig - 系统初次使用，初始化基本数据，jxs framework version 1.0 ...
09/26 12:23:17.317 INFO  org.bu.file.init.DataImportCmd - 读取【/data/data.conf】文件成功！
09/26 12:23:17.317 INFO  org.bu.file.init.DataImportCmd - 读取【data.local.conf】文件失败,原因：class path resource [data.local.conf] cannot be opened because it does not exist
09/26 12:23:17.317 INFO  org.bu.file.init.DataImportCmd - 解析数据导入命令文件成功，需要导入的命令有：
09/26 12:23:17.317 INFO  org.bu.file.init.DataImportCmd - buAreaCmd
09/26 12:23:17.318 INFO  org.bu.file.init.DataImportCmd - buMenuCmd
